,topic,content
76,Why The Golden Girls are Timeless," 61 Followers Pinned ..you badgagaloop It’s no secret that the Golden Girls have experienced a rediscovery by elder Millennials and some unsuspecting GenZrs. The appeal of four 50-something women living in a nice Miami house (“the only one in the neighborhood without a pool”) is not only that they ate cheesecake without gaining… 8 min read Pinned Less like the Breakfast Club and more like Driving Miss Daisy Influencers of the 1980s were found in magazines like Tiger Beat, MTV videos, dancing on American Bandstand, and in John Hughes movies. Every teenager who watched The Breakfast Club, for example, related to one or more of the cast… 5 min read Pinned The last thing we need is another article about the stupid Coronavirus pandemic. We can safely assume that every single person on the planet (including scientists who are working hard to keep us safe from the next coronavirus variant or the next virus) is sick and tired of talking or… 4 min read Jun 15 I know you want to read the 3 steps and nothing else because your mind is racing or it’s cluttered with the 57 still-pending items on your to-do list. If you are like me, then you have those two constant things happening in your head all day, everyday. And racing… 3 min read Jun 5 ….while others learned to bake banana bread Remember that time when the grown-ups in charge of everything said “stay home” we need to “flatten the curve”? They said to stay home for two weeks and then all would be well. Except it wasn’t. 
People refused to stay home and so… 5 min read Jun 4 …and maybe gain some followers It’s easy. Write what you like to talk about. Read what you like to learn about. I love to share my knowledge and interests with others and I love to learn stuff (about the stuff I like and also new stuff). Isn’t that how Medium… 3 min read Jun 3 I wrote this essay on June 2, 2020 to process the chaos and uncertainty that surrounded us in 2020. I did not post it anywhere. Instead, I saved it and immediately forgot about it. I found it today while cleaning out some files from my computer. Although it’s two years… 6 min read Jan 2, 2021 I subscribe to more than a few free “writing” newsletters. Each promising to help me become a better writer. I have followed all guidance, suggestions, prompts, quizzes and challenges from many of them. And although I have found limited success from each of them, I easily find reason to no… 4 min read Oct 5, 2019 Turning 50 is a big deal. A really big deal. Its the age that allows you to refer to 30 years olds as “kids”. It’s the age that allows you to take a closer look at your 401(k) and start making pre-luminary retirement plans. I always thought of 50 as… 2 min read"
77,"My Husband Got in Bed With a Millionaire Matchmaker, and I’ve Got Eyes on Them Both"," 3.8K Followers Published in About Me Stories ·Pinned I’m the real housewife who didn’t take the TV deal. And no, my cheating husband doesn’t need to know about this “silly” hobby. —  A 7,000 square foot modern mansion shouldn’t feel like a prison — yet here I am, sneaking away to another “girl’s brunch” at The Montage to write this bio. … 3 min read Published in Hello, Love ·1 hour ago And his ex-mistress is going out of her way to warn — or threaten — me. —  Some say a picture’s worth a thousand words; I’d argue a picture accompanied by a link is worth a million — at least when that link profiles the woman surreptitiously captured on your husband’s arm, halfway around the world. I didn’t need to send a private investigator after my husband… 9 min read Published in Hello, Love ·Jun 9 And seeing him on another woman’s social media sealed the deal. —  My husband fled the tornado-ravaged warzone of a bedroom without so much as a “goodbye”, leaving a pile of reject garments in his wake as the dead giveaway that his flight was, indeed, commercial. Private planes wait for you; commercial flights don’t, and men like my husband make that distinction… 10 min read Published in Hello, Love ·Jun 3 And a text link from another woman tipped me off to an even bigger betrayal in our own backyard. —  I hovered over the link in the email, before my eyes drifted down to the compensation breakdown below. The percentages increased as the dollars ascended from 7 to 8 figures. A few more inches of scrolling revealed the confidential communication chain that led us here, and Star’s “in” with the… 7 min read Published in Hello, Love ·May 25 And an infamous party guest with a longer rap sheet than my husband’s proves who you know trumps what you owe. —  I watched myself on the screen, as the incriminating 6-inch footage looped in my mother-in-law’s talon-like hands. … 11 min read Published in Hello, Love ·May 20 The flames of misfortune put marriages and friendships to the test — and we’re all surprised to see who passes and who doesn’t. —  A lot can transpire in a year, but sometimes — in the middle of the ocean with your husband’s accuser — even more life-changing sparks can ignite in a minute. As I spotted Brenda on the top deck of the yacht, I flashed back to 11 months ago, when she’d… 9 min read Published in Hello, Love ·May 12 And one lie too close to home exposed the messenger orchestrating our intrafamily drama. —  A black-suited security guard ushered us into a private golden elevator, down a dimly lit walkway, and through the covert double-doors to the secret pavilion ballroom. A giant rabbit greeted us from an oversized projector’s screen, while a cascade of ocean views backdropped the tables full of subtly recognizable faces… 10 min read Published in Hello, Love ·May 5 But that isn’t the biggest shocker my private investigator uncovered. —  A jolt sent the triple-decker boat — and everyone aboard — hurling towards the remote island up ahead. Perhaps an impromptu day trip to Catalina should have raised a red flag, but my husband’s insistence we bring the boys dissolved my doubts. That was my first mistake. “You stay up… 9 min read Published in Hello, Love ·Apr 29 If your garage smells fishy, brace yourself before you barge in; you never know what — or who — you’ll find. —  A wailing siren sliced through the throwback country radio station, as a slick police car weaved through the Pacific Coast Highway (PCH) traffic, cutting us off at the Goldenrod stoplight. Moments later, a second auditory interruption blasted my dad’s hysterical voice through the Bluetooth speakers: 8 min read Published in Hello, Love ·Apr 22 But what happens at Coachella may not stay at Coachella. And my transient dad is airing all our dirty laundry from the rooftop. —  A topless silhouette leaned into my intoxicated husband, her fluorescent pasties flashing along to the festival’s strobe lights until their intimate encounter disappeared behind a crowd of giddy teens, clamoring towards some Insta-celeb. It was after midnight, I was trapped in the desert, and most of our party had descended… 9 min read"
78,6 Content Writing and Monetising Tips I Learned From a Billionaire Author," 1.2K Followers Published in Geek Culture ·Pinned You don’t need to buy Bitcoin to feel its impact —  Edward Snowden, who catapulted to fame in 2013 as the whistleblower by uncovering the National Security Agency’s (NSA) massive surveillance program, has had a bittersweet relationship with Blockchain. Snowden was employed as a computer intelligence analyst in the global communications division at the CIA (Central Intelligence Agency)headquarters in Langley, Virginia… 5 min read Published in The Startup ·Pinned Greatest Business and Wealth Lessons from Charles Darwin —  The silicon valley is synonymous with the word startup. It is the land of firsts and Evolution. Its impact breaches all borders, and it ends up impacting people from all provinces. Among others, there is one bizarre trend called “pivoting”. Apparently, it’s voguish out there. … 6 min read Published in Age of Awareness ·Pinned After making the black turtle neck fashionable, the tech-heads are on their way to make no dopamine life dope. —  The famous silicon valley is Mecca to any aspiring techie. It has been home to some of the most prominent personalities in the tech universe and headquarters to multibillion-dollar businesses. These creators not only stimulate our lives with the latest inventions and snatched gadgets, but establishments such as Airbnb and… 4 min read Published in ILLUMINATION ·Pinned Proletarians have nothing to lose but their chains —  “If poor people knew how rich people are there would be riots on the streets — Chris Rock” One of the fascinating theories relating to the economy is by Karl Mark. I adore how naturally he explained such a sensitive and complex topic. A few years ago, I might have… 8 min read Published in The Startup ·1 day ago Simple But Genius —  Without wasting much time I’ll exhibit to you some key phrases to introduce you to Ms Sudha Murthy. And they are: She Didn’t come from a rich, influential or political family, married a middle-class man and fellow student, and together they went on to become all of the above. She was the first… 4 min read Published in History of Yesterday ·3 days ago Fact: Death of 7.3 Million —  Shah Jahan was one of the many emperors of India. He deeply loved his wife Mumtaz Mahal. After her death, the emperor was so heartbroken that he decided to build a massive tomb in honour of their love. The two of them were buried together inside the Taj Mahal. Since… 5 min read Published in Geek Culture ·5 days ago And It Gets Better as You Go On …. —  A woman recounts gang rape in the Metaverse. Yes, these are the statements making headlines recently. And it doesn’t end here people have witnessed many instances of violence, sexual abuse and racism in the brand-new world of Metaverse. What is Facebook/ Meta doing about this? Actually almost nothing. In a very diplomatic and repository way, they have saved themselves from any accountability by saying — 5 min read Published in Better Marketing ·Jun 16 Won’t Work for Peanuts —  It’s hard to make a buck without selling boob sweat, farts and feet. Since I have been part of both continents I can confidently claim that the west had/has more opportunities than down east and if Europe and America are troubled by gender inequality then I don’t know from where I should start counting our problems. Damn! I don’t like using the word racism… 5 min read Published in The Startup ·Jun 14 Please Be All Ears —  First of all, I am here for technology, I am not some old grandma who hates everything around and just lives in the good old age of lemon tea, outdoors and sunshine. But, Just imagine if a rude fat comment on your Instagram picture by some random stranger can ruin… 5 min read Published in ILLUMINATION ·Jun 6 You’ll Be Away From Climate Change and Pro-Lifers —  I am an anxious over-thinker. And these two things on their own are a pretty huge problem for a twenty-something-year-old to have and here I am proudly carrying the weight of both. (With the recent pandemic only adds to the issue.) I have often thought about the ideal avatar like… 6 min read"
79,The Forbidden Tree," 592 Followers Pinned A list of reviews for my poetry book —  I know that some people might be getting tired of me talking about my book already, but I promise this will probably be the last time. If you’re interested in reading the reviews of my book, The White Colossus, please look at these links below! If I’d receive more reviews… 2 min read Pinned A list of the author interviews that I’ve been featured in —  If you care about getting to know me more as a poet and person, please read the list of author interviews that I’ve ever done. I’ve chronologically put these interviews to understand better how I answered specific interview questions. Author Interview with Awesome Gang
Where Awesome Book Readers Meet Awesome Writersennebaker.medium.com Author Interview with Pretty-Hot.Com
Home for the Hottest Booksennebaker.medium.com 1 min read If you care about getting to know me more as a poet and person, please read the list of author interviews that I’ve ever done. I’ve chronologically put these interviews to understand better how I answered specific interview questions. ennebaker.medium.com ennebaker.medium.com ennebaker.medium.com medium.com www.poetrybookclub.com -- -- Pinned My First Poetry Book —  Back on June 9th, The White Colossus was published as a paperback, and ever since then, I have made it my mission to have an ebook accessible for everyone. Self-Published a Book of Poems
“The White Colossus” Is Available Now in Paperbackmedium.com For those interested in the paperback form, please understand that it’s constrained to fewer countries because the book is customized in… 2 min read Pinned Poems Published outside Of Medium —  Some poems were published under an old pen name (Edis Rune) and some under my current pen name (Enne Baker). Featured journals: Poem: Stretch Journal: Rue Scribe is the small literature journal of Underwood Press LLC. Stretch by Edis Rune
Currently living in New York, Edis Rune was born in Kosovo and is of Montenegrin descent. He is a poet, novelist, and…underwoodpress.com 2 min read Published in Weeds & Wildflowers ·7 hours ago A Poem —  Green.
The color of life, The trees, grass,
The entire earth. The color of health,
The color of strength. The color of rot.
The color of abandonment, Vines, vying around the houses.
The color of injury, The color of bruised contusions.
The color of my eyes, When the sunlight shines… 1 min read Green.The color of life, The trees, grass,The entire earth. The color of health,The color of strength. The color of rot.The color of abandonment, Vines, vying around the houses.The color of injury, The color of bruised contusions.The color of my eyes, When the sunlight shines… -- -- Published in Move Me Poetry ·15 hours ago A Poem — 1 min read -- -- 2 Published in Weeds & Wildflowers ·17 hours ago A Poem —  Pure?
What the hell does it even mean? Little seashells in the
Crna Gora (black mountain) beach. The center of a seashell, their swirl is hypnotizing
To endless psychology. It’s constantly baptized by the sea,
But it still has sand inside of it. Like bodies, the seashells lay dead flat,
And… 1 min read Published in Scrittura ·23 hours ago A Poem —  My old body can’t have sex like
It used to, But I want to make love with you.
Our wrinkles, our spots, Have been through so much to
Get to this moment, Two crater people like us,
Grinding our stardust together, But it’ll flow like the moons transition
To the sun… 1 min read My old body can’t have sex likeIt used to, But I want to make love with you.Our wrinkles, our spots, Have been through so much toGet to this moment, Two crater people like us,Grinding our stardust together, But it’ll flow like the moons transitionTo the sun… -- -- Published in Blue Insights ·1 day ago A Poem —  Devil, please cut me loose,
The string of the 3a.m. timeline Is pulling me to him, again.
How come you never come see me For once?
I’m always waiting, waiting, For you, for you,
Through, and through, and through, You never show, show, 
The mind is repetitive in this hour, … 1 min read Published in Weeds & Wildflowers ·1 day ago A Poem —  The apple tree is full of choices — 
One apple, plum and full of juices. Another, slim and small for the right
Consumption, not overly indulgent. There are many choices to pick from
These forbidden fruits. One is my dream of becoming a
Highly regarded poet, Another, a marriage and… 2 min read"
80,"The Marathon Mindset, the mindset to get you to the finish line in life…","  14 hours ago We want to get there fast, we want it to be exciting, we want to sprint to the finish line and say we’re done. The reality is, in life you’re never “done”, you wont wake up one day and say “I’m done”, and if you do, I hope you are… 3 min read"
81,Chillax Time!," 573 Followers Published in About Me Stories ·Pinned Nicetameetchya! —  So, full disclosure — it’s taken me a couple weeks and several drafts to actually say what I wanted to say about myself as an introduction :P I even had a fully completed version that I submitted to The Shortform that I then deleted, without saving it anywhere. Note to… 2 min read Pinned Your soul is perfect, a pure divine spark, the eternal aspect of Source as You and You as Source You are an aspect of All That Is exploring all the potentials of the One as the One. So’s everyone else. Life is in harmony with you at all times, a… 2 min read Published in MIDFORM ·7 hours ago How I de-stress —  June 22nd: What’s your favorite way to relieve stress? I’ve actually got a couple. When I’m physically stressed I love to run and just lose myself in the sound of breathing and my feet hitting the sidewalk and the breeze I create as I move — as minimal as it… 2 min read Published in MIDFORM ·1 day ago Meet DeeGee —  June 21st: Create your own prompt for today :D I love Dungeons and Dragons :) I’ve been playing for almost two decades now, the last 15 years of it with my husband! DND is a cooperative role playing game, usually with 4–6 players and one person as the Dungeon Master… 2 min read Published in MIDFORM ·2 days ago No limits, you say? — 3 min read Published in MIDFORM ·3 days ago Each unique crystal sings a song of its very own —  June 19th: What do you collect? Did you know that crystals sing? As an empath I can pick up on the vibrating resonance of each kind! They’re all lovely sensations — the gamut of good human emotions are represented. Love IS in the earth. So each time I find a… 2 min read Published in MIDFORM ·4 days ago I’ve actually had several — it’s not as unusual as we might think! —  June 18th: You meet your soul mate. What are they like? I never put much thought into the idea of soul mates, until I met mine. And then again, and again. See, the feeling to me is like, “Don’t I know you?” A sense of welcome familiarity and love that… 2 min read Published in MIDFORM ·5 days ago It was often the very first thing I would share with a new student —  June 17th: What skill could you teach someone in 10 minutes or less? I’m going to try an experiment, with YOU dear reader :) I am holding out my hands to you, palm up up, relaxed and easy, inviting you to put your hands in mine. We just stand there… 2 min read Published in MIDFORM ·6 days ago Just dropped in to say I Love You —  June 16th: Write a letter to give to yourself 5 years from now. Hey there! How’s it going, future me? YOU have hit the big 50 and surpassed it! How’s it feel? I’m willing to bet you still live in Portland. After all, you love it here and the house… 2 min read Published in MIDFORM ·Jun 16 I was reading this book before I even knew how to read —  June 15th: Give us a short book report about the book you love the most. I’m getting this in just under the wire time-wise because my very favorite book of all time went through a transformation 20 years after it was first published. … 3 min read"
82,The Music Class: Overcoming Perfection," 31 Followers Published in Sanatana Dharma ·1 day ago Learning a life lesson in a music classroom Recently, I started learning Hindustani classical vocal music. The elementary classes involve singing the notes in various combinations. Some are easy; some, difficult. These vocal acrobatics thrill me since I have longed to learn for many years. Usually, when my teacher explains… 5 min read Published in Sanatana Dharma ·Jun 15 The idea that the divine resides in oneself and every other sentient being can bring a huge shift in perspective. It gives the seeker the courage to turn inwards. Now the question is, if the body is indeed a temple, how do you venerate the divine in it? In some… 2 min read Published in Wisdom Tidbits ·Jun 13 Twelve years ago while browsing through interior design blogs, I stumbled upon the work of Paul Fernandes. His warm and vibrant illustrations and caricatures reminded me of characters from Malgudi Days. Visiting his art gallery, ‘aPaulogy’, remained at the top of our ‘to-do’ list. We visited Banagalore several times, but… 3 min read Published in Sanatana Dharma ·Jun 11 What if Krishna met Radha later in life? —  For most of us, the divine is a subtle esoteric concept. God is omnipotent, omnipresent and omniscient. Our first brush-off with the prefix ‘Omni’ is only in the context of God. As children, we learn that God presides over this world and the others from the cerulean expanse of the… 6 min read Published in Sanatana Dharma ·Jun 9 Today is Ganga Dusshera, also known as the Ganga Avataran Diwas. It is believed that the celestial river Ganga descended on Earth on the tenth day of the waxing moon in the Jyeshtha month of the Hindu Calendar. Taking a dip in the waters of Ganga during this time is… 4 min read Published in Sanatana Dharma ·Jun 8 One of the most significant discoveries on the path of self-realisation is the acceptance of our insignificance. The cosmos is immense and human existence utterly puny in comparison. When faced with an enormous mountain or a raging ocean, one can see the play of nature in perspective. … 2 min read Published in Wisdom Tidbits ·Jun 8 We went for a short vacation recently; 10 days to be precise. My husband’s maternal uncle graciously welcomed us into his lovely house surrounded by trees. We stayed there for five days or so. During the day, we gallivanted around Bangalore city; in the evenings we came back to the… 2 min read Published in Wisdom Tidbits ·Jun 3 We have been in Bangalore since last weekend. During this vacation, we got time to explore this green city. Old Bangaloreans will disagree. They reminisce about the city in the 70s, a retired people’s paradise, with tree-lined roads and salubrious weather. Bangalore kept throwing pleasant surprises our way with its… 4 min read Published in Sanatana Dharma ·Jun 1 In all world religions, music is accorded a coveted place. It is an expression of devotion, love and longing. In the second song of Geetanjali, the poet, Rabindranath Tagore offers his song at the feet of the divine. The sweet harmony of music allows him to purge negativity. He believes… 1 min read Published in Wisdom Tidbits ·May 24 I taught in a Waldorf school for two years. This school was visited by many teachers, musicians, educationists and ecologists from all over the world. I am very fortunate to have met Linda Thomas who has long argued about the therapeutic effects of cleaning (spaces). … 2 min read"
83,About Me — Josh O’Neill," 253 Followers Published in About Me Stories ·Pinned On a journey of self-discovery, being present and curiosity Hi everyone! I’m Josh O’Neill and welcome to my About Me Story. I’m in my 20s, born and bred on the west coast of Scotland (Yes, it does rain a lot). I began my writing career in April 2020 and started… 4 min read Published in Coffee Times ·Pinned From hidden talents to my favourite music —  Thanks to Hudson Rennie and Niharikaa Kaur Sodhi for the nomination — I put this off for a while however I thought it would be fun to do. If you’ve followed me for a while you’ll know I’m passionate about health & fitness, growth and self-development. There’s more beneath the… 5 min read Published in Runner's Life ·Pinned The next step of my journey into being a hybrid athlete —  This year, I’ve challenged my previous belief of “I’m not a runner.”s So far my journey has included two trail runs. You can find out more about them below: Deadlifts and Distance Running — Training For My First Trail Run
My journey of getting strong, lean, and durablemedium.com Deadlifts and Distance Running — Training for my Second Trail Race
Part 2 of my journey into the world of runningmedium.com 7 min read Published in In Fitness And In Health ·Pinned If you’re considering ditching drinking read this first —  I want to set the record straight before I begin. I’m not anti-alcohol or planning to never have a drink again. I enjoy an ice-cold cocktail while sunbathing or sitting on the beach while on holiday. … 5 min read Published in ILLUMINATION ·Pinned Ah, the fabled morning routine. I’ve been a sucker watching YouTube videos about the likes of Mark Wahlberg and Dwayne Johnson getting up super early before 4 am. Successful CEOs and entrepreneurs also preach very early rises and packing in as much as they can devoting themselves to their output… 4 min read Published in In Fitness And In Health ·May 22 It’s not always about the pecs —  The lift of all lifts. The bench press. When guys begin lifting they gravitate to the bench. They’ll be hyped up by their friends or have watched a few YouTube tutorials to get them ready. Music goes on and it’s time to go. Ego lifting is common — especially among… 4 min read Published in Wholistique ·May 11 Access this ancient practice to calm your modern-day monkey mind —  Living in a global pandemic was strange. It felt like a dystopian future. City streets were deserted. Shops and restaurants shut. For how long? We didn’t know. I was at a crossroads in my own life too. I submitted my thesis for my Masters’ degree and gave my final presentation… 4 min read Published in Better Humans ·Apr 28 Simple, effective and guaranteed to boost your mood —  Have you ever felt like each day you’re simply spinning the wheel? It feels like there’s no end goal in sight or no outcome within reach. You can be reassured by the fact everyone has days like this. At this point, I believe there are two options: Continue as you… 4 min read Published in Wholistique ·Apr 10 Embrace what challenges you —  Imagine a wild winter morning. It’s dark, the wind is swirling and it’s bitterly cold. It’s also raining. Contrast this with lying in your bed. It’s warm, you’re wrapped up in the covers and cosy. The last thing you want to do is go out for a run. You don’t… 5 min read Published in Better Humans ·Mar 14 It’s okay to take it down a couple of gears —  I knew something was wrong when I got into bed. I like the bedroom being cool before going to sleep. Studies have found the optimum temperature for sleeping is 18 degrees Celsius. “I’m cold”, I said to my girlfriend. “Are you cold too?”, I asked. She wasn’t. I went to… 4 min read"
84,"I’m 21 Years Old, and I’ve Never Been So Scared"," 184 Followers Published in Self Publication ·Pinned Great stats are amazing! But they aren’t everything —  I first started writing on Medium in mid-April of 2022, which was about a month ago. And while those of you who have been writing for years might scoff at little old beginner me offering writing advice, I do have few things that I’ve learned over the last few weeks… 3 min read Published in Self Publication ·11 hours ago The future is one huge abyss —  Right at this moment, when I’m writing this article, I am 21 years old, and I’ve never been so lost in my life. Maybe some of you can tell me if this is normal or not, but when I was a teenager I thought I had it all figured out… 3 min read Published in Self Publication ·4 days ago Doctors are much more than just scientists My family has a tradition of having dinner together every night. It’s an opportunity for us to catch up on how our respective days were passed, and share our often controversial opinions on the world. Last night, I was fortunate enough to be… 3 min read Published in Modern Women ·6 days ago The perfect body is the one you already have —  Last week, I deleted Tik Tok from my phone. While this might not seem like that big a deal to you, scrolling through Tik Tok is practically a full-time job to me. It’s the first thing I do in the morning, and the last thing I do at night. I… 3 min read Published in MIDFORM ·Jun 10 I used to HATE my skin colour, now I think it’s one of my best features —  When I first read the prompt for today, Someone is amazed! “Wow, how did you do that?!” What did you do? I was stumped. Because I tend to think of myself as a pretty ordinary person. … 3 min read Published in MIDFORM ·Jun 8 PS: It’s not because it allows me to watch cat videos —  When I was 13, I got an iPod touch, and for the first time in my life, I had private access to the internet. It was amazing. Suddenly I had access to Youtube, Google, movies, and email. It was like my world had expanded through this one little device. … 2 min read Published in MIDFORM ·Jun 7 Red represents the person I want to be —  The only colour I’ve ever liked is red, ever since I was in kindergarten and first learned about the different colours. Red was the only one that caught my eye. It was just so beautiful, so perfect, so complete in every way possible. … 2 min read Published in MIDFORM ·Jun 6 There are multiple true loves out there for you —  I love love. I always have. Ever since I was a little girl I always dreamed of finding the perfect guy, falling in love, and living happily ever after. A huge part of me still wants that, still has that daydream with the perfect guy, my true love, lingering in… 2 min read Published in MIDFORM ·Jun 5 Some fears NEED to be conquered —  Fears are often viewed as a great weakness of humans. Fearless people are viewed as if they are braver than the rest of us, and those of us with several fears are viewed as much weaker. But fears are not a reflection of our inner strength or lack thereof, they… 3 min read Published in MIDFORM ·Jun 3 We all have powers, but not all of us use them —  The question of what superpower would you have if you were a superhero has been asked of me since I was a little kid. Over the years, my answer has changed dramatically. When I was very little, I thought it would be fun to be able to fly, so I… 2 min read"
85,3 Writers I Would Love to Meet," 1.4K Followers Published in About Me Stories ·Pinned A small town kid just living the dream. —  Hi everyone! My name is Noah Nelson and I am from the small town of Taylorville, located smack dab in the middle of Illinois. Currently, I am a junior at the University of Illinois at Urbana-Champaign majoring in journalism with minors in political science and history. Outside of the classroom… 3 min read Published in The Biographical Historian ·Pinned This story is crazier than you think. —  You know who President John Tyler is, right? You should know he spent some time in the White House, and that even though he died in 1862 in the early days of the American Civil War, he still has one grandchild living today. How is that even possible? It’s strange… 2 min read Published in ILLUMINATION ·12 hours ago Their work is some of my favorites; their character is all the better. —  Have you ever just loved a book so much that you wanted to meet the mind behind it? I have plenty of times. That’s why I love meeting authors at book signings and other such occasions. It allows me to learn about them more while also having a great conversation. … 3 min read Published in ILLUMINATION ·6 days ago There’s more meaning behind the characters than I thought. —  I grew up in the early 2000s loving Disney Channel’s “High School Musical” trilogy. The films are filled with great music, addictive storylines, and some of the best characters out there. But the six main casts have a different meanings behind their characters. This shocked me more than I thought… 2 min read Published in Nothing But Noah ·Jun 15 It’s the burning question inside us all. —  We’ve heard it all before: I want to be a writer. But in order to do that, have we written yet? The answer is simple: probably not. We need to write if we want to be a writer. That’s how we get better. Here’s a quote to leave you thinking: … 1 min read Published in The Biographical Historian ·Jun 10 It’s an unknown tale that needs to be told. —  Have you ever eaten a Heath candy bar? I only have a few times in life. But nowadays, after learning what I did recently, I want to eat them more often. The famous candy comes with a nice little backstory. It’s one that connects to my neck of the woods… 2 min read Published in ILLUMINATION ·Jun 7 And I’m grateful for it every day —  I don’t understand the Snapchat craze. Take picture Attach a message to it Keep doing that with the other person forever Sure, there is a texting option on the social media platform, but even then, I’m good. I’m still not going to waste my time on the app. Folks are… 3 min read Published in Books Are Our Superpower ·May 31 I lost track of time reading them. —  I love learning about presidential history. It’s one of the aspects of the past that keep my nose in a book for hours on end. Whenever I can, I’m always reading something about the men who have worked in the White House. … 3 min read Published in ILLUMINATION ·May 31 It makes more sense than I ever thought it would. —  In the 1989 film “Field of Dreams,” Kevin Costner’s character Ray Kinsella wanders out into his Iowa cornfield when he hears a voice. It whispers: “If you build it, they will come.” It means that he must build a baseball field so that players of the past may visit him… 2 min read Published in Books Are Our Superpower ·May 26 They’re just so good, I’ll use the recipes forever. —  Who doesn’t love a good cocktail? I know I do. It’s a great way to take the edge off of life, sit back, relax, and enjoy a nice little concoction in your favorite glass. Over the years, I have discovered what I like and don’t like in my drink. The… 4 min read"
86,Chickens Used To Be Our House Pets — Not Part of Our Diet," 24K Followers Published in History of Yesterday ·Pinned New Files show CIA employees that have never been prosecuted for sex crimes involving children as young as 2 years old —  For many years it has been mentioned by many public figures about some of the atrocities that are taking place inside the Central Intelligence Agency (CIA) involving small children. As this agency is considered part of America’s governmental body no one can really touch it, nor can people access files… 6 min read Published in History of Yesterday ·Pinned The software used is called “World 3 system” and it predicted that the world will come to an end provoked by humanity in 2040 —  In ancient literature, there is always a mention of the end of human civilization, or as we better define it, the end of the world. … 6 min read Published in History of Yesterday ·Pinned Two species that evolved from the same ancestor fighting over the ownership of Earth —  We sometimes talk about war as if it is something that only happened in the past 10,000 years but war was born along with the first ancestors of humanity. Peace is just a social lie, such as perfection, which does not exist. … 8 min read Published in History of Yesterday ·Pinned Medical students across the world are still being taught this myth besides other racial lies —  Personal interests in the medical world make me do a lot of research in this field, especially in the history of medicine and how it has evolved over the years. If you would have told me that back in the 19th century, when slavery was still common, society believed that… 13 min read Published in History of Yesterday ·Pinned Lina Medina —  Lina Marcela Medina is confirmed to be the youngest mother in history, giving birth at the young age of 5 years and 7 months old. Lina was born on September 23, 1933, in Peru. … 4 min read Published in History of Yesterday ·2 days ago Has society evolved or devolved? —  Today the consumption of chicken meat as well as eggs is considered to be common, but there used to be a time when eating chicken meat or its eggs was more taboo than eating cats or dogs today. … 4 min read Published in Geek Culture ·4 days ago It was only a matter of time until AI would start going sentient —  Since the integration of Artificial intelligence (AI) in online search engines and social media platforms, everyone knew it was a matter of time until these AI entities would actually come to life. A well-known Google engineer named Blake Lemoine had tested Google’s artificially intelligent chatbot generator named LaMDA. … 4 min read Published in History of Yesterday ·Jun 16 The first one was the hardest, now cloning animals is something normal yet no one seems to be aware of the practice —  Dolly the sheep used to be the most popular animal in the world due to the controversy of how she was created (no quotations). … 6 min read Published in History of Yesterday ·Jun 14 It’s as if the political conflicts are quickening the process —  Siberia is the host to some of the world’s strangest locations as far as natural sightings go. … 5 min read Published in History of Yesterday ·Apr 21 Waiting to be unearthed —  Many years ago sailor ships were the main means of transportation used to help people travel around the world and most important trade goods from one end to another. A good portion of the ships that have sailed on Earth’s waters ended up at the bottom of oceans due to… 3 min read"
87,Three Unsung Heroes from Our Cosmic Past," 1.3K Followers 19 hours ago This month two young astrophysicists with faculty appointments told me that they are seriously considering leaving academia because of peer pressure to conform with the majority view or suffer reputational risk. They know that the tenure system was supposed to promote risky investments in independent thought by providing job security… 5 min read 2 days ago Despite what you might read in history books about the past ten thousand years of human civilization, we really owe our existence to three unsung heroes from the early beginning of the universe, a million times further back in time. First and foremost is dark matter. Since Fritz Zwicky realized… 5 min read Jun 15 There is a symmetry between the beginning and end of our life. At both times we are helpless and need support from our environment to survive. And both moments represent a diminished version of our mental and physical self. In his recent New York Times podcast, Ezra Klein discussed a… 4 min read Jun 14 Humanity constructed the first nuclear reactor eighty years ago. Yet, there was no immediate evidence back then that the first terrestrial reactor attracted attention from extraterrestrial civilizations. This is understandable. Nature manufactures nuclear reactors of much greater scales in the form of stars, and so our accomplishment was not particularly… 5 min read Jun 11 On June 4, 2021, NASA’s leading Administrator Bill Nelson said on CNN that scientists should study the nature of Unidentified Aerial Phenomena (UAP). The following morning, I emailed Dr. Thomas Zurbuchen, NASA’s Associate Administrator for Science, about possible funding of a scientific research project that would make his boss happy… 5 min read Jun 9 “You look younger than we remember you”, commented one of my former graduate students as I entered the reception for the conference in celebration of my 60th birthday at the Winnetu resort in Martha’s Vineyard. “The pandemic had a positive impact on my health”, I replied, “I jog every early… 4 min read Jun 4 A common misperception of kids is that they are not as intelligent as adults because they make mistakes. But the truth is that they merely lack experience and so they get bruised when faced with challenges in a reality that is not familiar to them. The bruising hurts but it… 4 min read Jun 2 Along our way to attend an astrophysics conference for my 60th birthday, we took a ferry ride from Cape Cod in Massachusetts. As the ferry sailed into the ocean, we noticed faster boats passing by. It then occurred to me that all the spacecraft launched by humanity in its first… 4 min read Jun 1 According to the uncertainty principle of quantum mechanics, a car can in principle pass through a brick wall intact. But since the car is a massive object, the chance of that happening is negligibly small. However, elementary particles have a higher likelihood for quantum tunneling through a barrier. … 4 min read May 29 My former students and postdocs decided to organize a conference in Martha’s Vineyard next week in celebration of the fact that the Earth has circled the Sun sixty times since I was born. Over the past decades, my research group summarized its scientific insights in nearly a thousand publications. … 4 min read"
